SpineBaseX,SpineBaseY,SpineBaseZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ
-0.1073059,-0.1832562,1.859608,-0.185654,-0.1843096,1.81982,-0.2100652,-0.5537294,1.761845,-0.02482235,-0.17564,1.8289,0.04861924,-0.5366443,1.719846
-0.1054763,-0.1836259,1.861303,-0.1839959,-0.1837866,1.819889,-0.2110811,-0.5507979,1.758098,-0.02286299,-0.177061,1.831595,0.05956583,-0.534443,1.72359
-0.1033435,-0.1839804,1.86295,-0.1818154,-0.182954,1.819896,-0.2120367,-0.548757,1.753612,-0.02058602,-0.1787397,1.834435,0.06971934,-0.5342485,1.727243
-0.1000358,-0.1845574,1.865497,-0.1786041,-0.1820442,1.820683,-0.2123042,-0.5486104,1.752376,-0.01736963,-0.1807745,1.837941,0.08177979,-0.5356504,1.733503
-0.09536187,-0.1860253,1.867829,-0.1739885,-0.1818435,1.821506,-0.2115176,-0.5479339,1.751663,-0.01285494,-0.1837197,1.840971,0.09180049,-0.5379829,1.740201
-0.08730159,-0.1868927,1.869637,-0.1651894,-0.1809786,1.821932,-0.2096743,-0.547909,1.751682,-0.005674271,-0.185813,1.843246,0.09910423,-0.5387639,1.745131
-0.07596755,-0.188253,1.870672,-0.153813,-0.1810986,1.821996,-0.2027931,-0.5467504,1.752822,0.005007923,-0.1880876,1.844613,0.1056631,-0.5414183,1.74948
-0.06485127,-0.1896241,1.871272,-0.142951,-0.1818041,1.822072,-0.1930452,-0.5474236,1.754971,0.01584554,-0.1899454,1.845407,0.1136978,-0.5448129,1.753058
-0.05294484,-0.1908267,1.871925,-0.130888,-0.1818457,1.822536,-0.1839284,-0.547565,1.757847,0.02718597,-0.1921767,1.846061,0.1226014,-0.5495465,1.755611
-0.03926867,-0.1921263,1.873504,-0.1172906,-0.1823623,1.824552,-0.1754668,-0.5463653,1.761117,0.04033258,-0.1941682,1.847099,0.1317203,-0.5536862,1.75786
-0.003637475,-0.1951754,1.87589,-0.08110719,-0.1846636,1.826823,-0.1522899,-0.5450991,1.764906,0.07395059,-0.1978167,1.849526,0.1545696,-0.5567953,1.760102
0.01476547,-0.1961968,1.876252,-0.06318765,-0.1858304,1.827776,-0.1417069,-0.5491801,1.766618,0.09209007,-0.1986626,1.849284,0.1650372,-0.5576833,1.760751
0.03198357,-0.1959625,1.877832,-0.04633358,-0.1854255,1.828858,-0.1263628,-0.5508569,1.768227,0.108976,-0.1986201,1.851368,0.1763707,-0.5548323,1.762077
0.05023484,-0.1976942,1.880001,-0.02843113,-0.1869578,1.831384,-0.1139779,-0.5525284,1.768396,0.1268308,-0.2004938,1.8532,0.1868177,-0.5535971,1.765463
0.06644409,-0.1974258,1.882529,-0.01259271,-0.1863789,1.833377,-0.1016312,-0.5533936,1.766556,0.1427829,-0.2005626,1.85629,0.1989952,-0.5546367,1.771503
0.08216109,-0.1969077,1.884313,0.002306293,-0.1856928,1.835981,-0.08692353,-0.5517006,1.761188,0.1587241,-0.2002453,1.857251,0.209429,-0.5538844,1.776521
0.1058509,-0.1949297,1.886295,0.02521901,-0.1832318,1.838987,-0.05828285,-0.5499291,1.742627,0.1822339,-0.1988371,1.858245,0.2231284,-0.5591067,1.785015
0.1175096,-0.1943056,1.885552,0.03644017,-0.1825576,1.838377,-0.04347818,-0.5494324,1.730337,0.1938252,-0.198289,1.857401,0.2301258,-0.5644143,1.790179
0.1283465,-0.1933712,1.883649,0.04642302,-0.1818972,1.837394,-0.02794706,-0.5499018,1.719721,0.2051619,-0.1970877,1.854526,0.2360074,-0.5694177,1.794438
0.139654,-0.1924769,1.881977,0.05714585,-0.1812813,1.836488,-0.01253382,-0.5524345,1.712307,0.2165671,-0.195947,1.852125,0.2422108,-0.5760074,1.798318
